,objectid,área,nome,regiao_adm,area_plane,codbairro,codra,codbnum,link,rp,cod_rp,codbairro_long,st_areashape,st_perimetershape,nome_normalized
0,325,1705684.50390625,Paquetá                   ,PAQUETA                 ,1,13,21,13,Paqueta&area=013                                  ,Centro,1.1,13,1705689.11782654,24841.4599844384,PAQUETA
1,326,4056402.76611328,Freguesia (Ilha)          ,ILHA DO GOVERNADOR      ,3,98,20,98,Freguesia (Ilha)          &area=98                ,Ilha do Governador,3.7,98,4056413.75801144,18303.6213854477,FREGUESIA
2,327,978046.54248047,Bancários                 ,ILHA DO GOVERNADOR      ,3,97,20,97,Bancários                 &area=97                ,Ilha do Governador,3.7,97,978049.182262859,7758.79189486875,BANCARIOS
3,328,18957422.1518555,Galeão                    ,ILHA DO GOVERNADOR      ,3,104,20,104,Galeão                    &area=104               ,Ilha do Governador,3.7,104,18957473.3780977,21510.0883960412,GALEAO
4,329,1672545.75097656,Tauá                      ,ILHA DO GOVERNADOR      ,3,101,20,101,Tauá                      &area=101               ,Ilha do Governador,3.7,101,1672550.27813077,8246.12071968437,TAUA
5,330,1186409.43945313,Portuguesa                ,ILHA DO GOVERNADOR      ,3,103,20,103,Portuguesa                &area=103               ,Ilha do Governador,3.7,103,1186412.64980725,5101.52977232383,PORTUGUESA
6,331,520557.46679688,Moneró                    ,ILHA DO GOVERNADOR      ,3,102,20,102,Moneró                    &area=102               ,Ilha do Governador,3.7,102,520558.878021699,3538.29017348438,MONERO
7,333,3385308.03125,Vigário Geral             ,VIGARIO GERAL           ,3,48,31,48,Vigário Geral             &area=48                ,Penha,3.5,48,3385317.1813614,8077.09307832437,VIGARIO GERAL
8,334,490102.43017578,Cocotá                    ,ILHA DO GOVERNADOR      ,3,96,20,96,Cocotá                    &area=96                ,Ilha do Governador,3.7,96,490103.738674535,4799.07811656246,COCOTA
9,335,1973968.44726563,Jardim América            ,VIGARIO GERAL           ,3,49,31,49,Jardim América            &area=49                ,Penha,3.5,49,1973973.76310678,6129.78580894803,JARDIM AMERICA
10,336,1621126.18847656,Jardim Carioca            ,ILHA DO GOVERNADOR      ,3,100,20,100,Jardim Carioca            &area=100               ,Ilha do Governador,3.7,100,1621130.57517773,6150.88808071301,JARDIM CARIOCA
11,337,8311405.5546875,Pavuna                    ,PAVUNA                  ,3,114,25,114,Pavuna                    &area=114               ,Pavuna,3.6,114,8311428.03028447,18418.0818556461,PAVUNA
12,338,3856801.06689453,Cordovil                  ,VIGARIO GERAL           ,3,46,31,46,Cordovil                  &area=46                ,Penha,3.5,46,3856811.47642739,13947.7227408181,CORDOVIL
13,339,3205882.07080078,Jardim Guanabara          ,ILHA DO GOVERNADOR      ,3,99,20,99,Jardim Guanabara          &area=99                ,Ilha do Governador,3.7,99,3205890.69140495,9028.41939360982,JARDIM GUANABARA
14,340,2197968.69482422,Parada de Lucas           ,VIGARIO GERAL           ,3,47,31,47,Parada de Lucas           &area=47                ,Penha,3.5,47,2197974.63794658,9216.71427478096,PARADA DE LUCAS
15,341,1517134.46630859,Parque Colúmbia           ,PAVUNA                  ,3,159,25,159,Parque Colúmbia           &area=159               ,Pavuna,3.6,159,1517138.54183438,6179.27767714014,PARQUE COLUMBIA
16,342,379405.89892578,Praia da Bandeira         ,ILHA DO GOVERNADOR      ,3,95,20,95,Praia da Bandeira         &area=95                ,Ilha do Governador,3.7,95,379406.929344803,3423.22690002278,PRAIA DA BANDEIRA
17,343,4623381.89599609,Penha Circular            ,PENHA                   ,3,44,11,44,Penha Circular            &area=44                ,Penha,3.5,44,4623394.36403397,16639.4226565347,PENHA CIRCULAR
18,345,2068686.08105469,Cacuia                    ,ILHA DO GOVERNADOR      ,3,93,20,93,Cacuia                    &area=93                ,Ilha do Governador,3.7,93,2068691.67036394,10232.3470148965,CACUIA
19,346,7477839.76953125,Irajá                     ,IRAJA                   ,3,76,14,76,Irajá                     &area=76                ,Madureira,3.3,76,7477859.90513895,18436.0201582136,IRAJA
20,347,4345726.97900391,Anchieta                  ,ANCHIETA                ,3,107,22,107,Anchieta                  &area=107               ,Pavuna,3.6,107,4345738.72098258,11471.4343252525,ANCHIETA
21,348,1605524.3203125,Acari                     ,PAVUNA                  ,3,111,25,111,Acari                     &area=111               ,Pavuna,3.6,111,1605528.60537058,6408.78145787181,ACARI
22,349,604129.77490234,Pitangueiras              ,ILHA DO GOVERNADOR      ,3,94,20,94,Pitangueiras              &area=94                ,Ilha do Governador,3.7,94,604131.394923234,3514.09602232128,PITANGUEIRAS
23,350,1814831.70556641,Costa Barros              ,PAVUNA                  ,3,113,25,113,Costa Barros              &area=113               ,Pavuna,3.6,113,1814836.57345119,6638.99909954745,COSTA BARROS
24,351,3522221.85253906,Brás de Pina              ,PENHA                   ,3,45,11,45,Brás de Pina              &area=45                ,Penha,3.5,45,3522231.33692138,12591.6272452952,BRAS DE PINA
25,352,5811323.13867188,Penha                     ,PENHA                   ,3,43,11,43,Penha                     &area=43                ,Penha,3.5,43,5811338.82085222,13667.79401166,PENHA
26,353,161117.78417969,Zumbi                     ,ILHA DO GOVERNADOR      ,3,92,20,92,Zumbi                     &area=92                ,Ilha do Governador,3.7,92,161118.235725701,2122.52410663597,ZUMBI
27,354,861924.82275391,Ribeira                   ,ILHA DO GOVERNADOR      ,3,91,20,91,Ribeira                   &area=91                ,Ilha do Governador,3.7,91,861927.156472416,7050.04108423601,RIBEIRA
28,355,2511970.33837891,Coelho Neto               ,PAVUNA                  ,3,110,25,110,Coelho Neto               &area=110               ,Pavuna,3.6,110,2511977.15050509,7534.5486938991,COELHO NETO
29,356,3820007.67333984,Guadalupe                 ,ANCHIETA                ,3,106,22,106,Guadalupe                 &area=106               ,Pavuna,3.6,106,3820017.98159213,10384.2462046003,GUADALUPE
30,357,3905790.00732422,Parque Anchieta           ,ANCHIETA                ,3,108,22,108,Parque Anchieta           &area=108               ,Pavuna,3.6,108,3905800.48205228,13017.7526348761,PARQUE ANCHIETA
31,358,1723864.33349609,Barros Filho              ,PAVUNA                  ,3,112,25,112,Barros Filho              &area=112               ,Pavuna,3.6,112,1723868.97450215,7194.16330033761,BARROS FILHO
32,359,515209.05175781,Vista Alegre              ,IRAJA                   ,3,75,14,75,Vista Alegre              &area=75                ,Madureira,3.3,75,515210.428664152,3581.53091070947,VISTA ALEGRE
33,360,2116869.79931641,Ricardo de Albuquerque    ,ANCHIETA                ,3,109,22,109,Ricardo de Albuquerque    &area=109               ,Pavuna,3.6,109,2116875.49804071,9196.70597829447,RICARDO DE ALBUQUERQUE
34,361,2261110.26855469,Colégio                   ,IRAJA                   ,3,77,14,77,Colégio                   &area=77                ,Madureira,3.3,77,2261116.3416906,7739.23242501946,COLEGIO
35,362,1374847.05664063,Honório Gurgel            ,MADUREIRA               ,3,87,15,87,Honório Gurgel            &area=87                ,Madureira,3.3,87,1374850.69990312,6884.59352510452,HONORIO GURGEL
36,363,3689833.24707031,Olaria                    ,RAMOS                   ,3,42,10,42,Olaria                    &area=42                ,Ramos,3.1,42,3689843.10499139,12231.0099362439,OLARIA
37,364,1435715.75537109,Vila da Penha             ,IRAJA                   ,3,74,14,74,Vila da Penha             &area=74                ,Madureira,3.3,74,1435719.61708016,6100.1704924185,VILA DA PENHA
38,365,4268761.30273438,Maré                      ,COMPLEXO DA MARE        ,3,157,30,157,Maré                      &area=157               ,Ramos,3.1,157,4268772.77538115,13082.6387100714,MARE
39,366,10756709.4238281,Vila Militar              ,REALENGO                ,5,135,33,135,Vila Militar              &area=135               ,Bangu,5.1,135,10756738.323024,18077.0230936419,VILA MILITAR
40,367,4690706.46972656,Cidade Universitária      ,ILHA DO GOVERNADOR      ,3,105,20,105,Cidade Universitária      &area=105               ,Ilha do Governador,3.7,105,4690719.08722401,22376.2525215015,CIDADE UNIVERSITARIA
41,368,2886705.52392578,Rocha Miranda             ,MADUREIRA               ,3,86,15,86,Rocha Miranda             &area=86                ,Madureira,3.3,86,2886713.31275262,9166.73617414552,ROCHA MIRANDA
42,369,2793533.0,Ramos                     ,RAMOS                   ,3,41,10,41,Ramos                     &area=41                ,Ramos,3.1,41,2793540.52923017,8911.70508439393,RAMOS
43,370,26054198.0688477,Realengo                  ,REALENGO                ,5,139,33,139,Realengo                  &area=139               ,Bangu,5.1,139,26054267.7784231,30896.8661660066,REALENGO
44,371,1519254.12988281,Vila Kosmos               ,IRAJA                   ,3,72,14,72,Vila Kosmos               &area=72                ,Madureira,3.3,72,1519258.19516718,6511.86661964862,VILA KOSMOS
45,372,3886225.66064453,Marechal Hermes           ,MADUREIRA               ,3,90,15,90,Marechal Hermes           &area=90                ,Madureira,3.3,90,3886236.03182952,11946.9847553327,MARECHAL HERMES
